Department,Category,Statement
Landscape Conservation,Org Opportunity,We need training on sensitivity folks are learning on their own but Defenders should take this up organizationally
Landscape Conservation,Org Opportunity,Even simple desktop reference for correct terminology when writing would be helpful
Landscape Conservation,Org Opportunity,Pronouns on email signatures
Landscape Conservation,Org Opportunity,Need to think about a broader definition of diversity
Landscape Conservation,Org Opportunity,Where can we find resources for managers 
Landscape Conservation,Org Opportunity,"Need to evaluate and, if necessary, adjust salaries because otherwise we are an organization of privileged people"
Landscape Conservation,Org Opportunity,Mission statement about the 'inherent value of wildlife' may be problematic for an inclusive organization because if used unconscientiously it can marginalize communities that have a more utilitarian or exploitative relationship with wildlife
Landscape Conservation,Org Opportunity,"Annual tracking of diversity numbers, attitudes, perceptions and publicizing these results"
Landscape Conservation,Org Opportunity,Mentorship programs either internal to Defenders or with external youths
Landscape Conservation,Org Opportunity,current initiatives that we can attach DEIJ to that might lower the inertia of starting a new initiative
Landscape Conservation,Org Opportunity,It might be problematic to co-opt underserved entities for political purposes
Landscape Conservation,Org Opportunity,We might look disingenuous if we scream about cultural issues for some ulterior motive
Landscape Conservation,Org Opportunity,"Salary transparency former employees have mentioned this is a major issue, we can't see what someone at a given level is making"
Landscape Conservation,Org Opportunity,"do an analysis of gender, racial disparities in salary"
Landscape Conservation,Org Opportunity,"Other organizations do levels within tracks with clearly defined responsibilities, promotion goals, and salaries"
Landscape Conservation,Org Opportunity,"Sensitivity training for hiring process, what questions you can/can't ask - we currently have no sense of what is even legal, let alone sensitive"
Landscape Conservation,Org Opportunity,Aggressive recruiting and rules have to be part of hiring practices - diversity requirements
Landscape Conservation,Org Opportunity,Studies have shown all sorts of simple ways to eliminate bias like scrubbing names from resumes
CCI,Efforts,Coexistence strategy includes community engagement
CCI,Efforts,DEIJ as part of our mountaintop removal mining project
CCI,Dept Opportunity,create mapping tools that acknowledge who's land a project overlaps with as a standard practice first screen for acknowledgement and outreach for inclusion
CCI,Dept Opportunity,be the data and tool providers for the rest of the organization
CCI,Org Opportunity,"Are pay equity, maternal and paternal leave based on recommended standards"
CCI,Org Opportunity,assess whether compensation is equitable
CCI,Org Opportunity,more transparency around salary ranges
CCI,Org Opportunity,clarity around the process of salary negotiation how it happens when it happens
CCI,Org Opportunity,more sufficient baseline data and regular evaluation metrics to track progress
CCI,Org Opportunity,clarify who is included in the hiring process
CCI,Org Opportunity,include what candidates will get out of a position on position description
CCI,Org Opportunity,consider different sets of experience that might come from different background during hiring process
CCI,Org Opportunity,targeted job postings to intentionally solicit diversity
CCI,Org Opportunity,raise awareness of general racial inequality in the country and how that translates into our work
CCI,Org Opportunity,Increase comfort in engaging on DEIJ topics in all aspects of work
CCI,Org Opportunity,Communication among teams and departments that are already doing DEIJ things
CCI,Org Opportunity,Integrate diversity trainings into onboarding and provide annual refreshers
CCI,Org Opportunity,Seminar series with dedicated funding
CCI,Org Opportunity,Create cultural norms so that diversity training is taken seriously
CCI,Org Opportunity,Student clubs that are sponsored by outside organizations
CCI,Org Opportunity,Partnering with universities
CCI,Org Opportunity,Outreach to more diverse communities as a recruiting pipeline
CCI,Org Opportunity,Sponsoring clubs come up with worthwhile projects to set up for students
CCI,Org Opportunity,outreach on campuses like photo contests
CCI,Org Opportunity,Need to develop a more diverse pipeline
CCI,Org Opportunity,engage even younger audiences to let them know that conservation is a career option
CCI,Org Opportunity,skype a scientist
CCI,Org Opportunity,develop lesson plans for teachers
CCI,Org Opportunity,"work in support of comment letters, litigation on the federal lands side but no projects with a direct interaction with a local group that is not conservation based"
CCI,Org Opportunity,How does DEIJ come into play when we are instigating projects on the ground
CCI,Org Opportunity,survey communities we work with to get feedback as to whether they feel included
Operations,Efforts,Creating nametags for everyone so that they feel included
Operations,Efforts,Giving everyone a tour of the facility
Operations,Efforts,People in the building have a mailbox
Operations,Dept Opportunity,Building more accessible handles for doors
Operations,Dept Opportunity,Button for wheelchair accessibility on the front door of the building
Operations,Dept Opportunity,Getting braille for the elevator floors
Operations,Dept Opportunity,Identifying if someone could learn ASL
Operations,Dept Opportunity,"Making sinks, bathrooms, and fire drill plans for mobility limited individuals"
Operations,Org Opportunity,tabling and recruiting from more diverse institutions in order to recruit qualified candidates to do more direct impact work with the wildlife and land areas
Operations,Org Opportunity,"a lot of the support staff is diverse, but the frontline individuals are not"
Operations,Org Opportunity,"From the outside looking in the organization seems very much predominantly white but once you are in, there is more transparency on the diversity"
Operations,Org Opportunity,Every member has felt accepted and included and those who have been here longer have seen a change in the demographics of defenders
Operations,Org Opportunity,Being more aware of how to access your personnel file
Operations,Org Opportunity,outing events to historical museums or to gain access to the aquarium or natgeo and other wildlife and diversity events
Operations,Org Opportunity,having more frequent contact with CEO in informal session makes them seem more personable and change the perceptions they might have had about CEO in the past
Southeast,Efforts,Heirs property legislation in florida engaging new audiences
Southeast,Efforts,Panther outreach and coexistence materials in Spanish
Southeast,Efforts,Farmers who are underserved and at the economic margins
Southeast,Efforts,working with marginalized communicites in north carolina
Southeast,Efforts,collaboration with Eastern Band of the Cherokee Indians through freshwater fish conservation
Southeast,Dept Opportunity,inviting diverse speakers and presenters
Southeast,Dept Opportunity,outreach to communities of color
Southeast,Dept Opportunity,diversify our internship applicant pool
Southeast,Dept Opportunity,enhancing our outreach materials to be more relevant to coastal communities
Southeast,Org Opportunity,College campus outreach
Southeast,Org Opportunity,Attracting and engaging the next generation of advocates and donors
Southeast,Org Opportunity,"Diversify organizational leadership age, gender, experience"
Southeast,Org Opportunity,Diversify decision-making authority and process
Southeast,Org Opportunity,Defining roles and responsibilities for DEIJ at organizational and employment levels
Southwest,Efforts,They do not have any that they are working on ad hoc but have essentially integrated it into every aspect of their daily work
Southwest,Efforts,"Working with LatinX groups, indigenous peoples, Craig miller with boarder work, white mountain apache groups where the relationships are very fragile, important and difficult to build"
Southwest,Dept Opportunity,Better messaging from the organization to cater to outreach and Different DEIJ groups
Southwest,Dept Opportunity,Mention of the Sierra Club being very good at going outside of their values to cater to their communities’ goals
Southwest,Dept Opportunity,"Better communication for Diverse family groups that may be more interested in hunting, fishing, camping in local areas"
Southwest,Dept Opportunity,A checklist of sorts to make sure when writing scientific papers of things to consider for inclusion when publishing
Southwest,Dept Opportunity,How to measure how successfully they are engaging diverse groups
Southwest,Org Opportunity,"Opportunities for better equity for internships and entry level positions as some individuals are mentors for certain diversity groups on their free time, they recommend our internships but, unfortunately the individual will go to another organization that has a paid opportunity and relocation fund available"
Southwest,Org Opportunity,"Include field offices when working on plans to collaborate or work with a species that is native to that area or if were traying to implement wind energy in a certain state, connecting with the field offices for those calls"
Southwest,Org Opportunity,Better onboarding for new hires in field offices
Southwest,Org Opportunity,Making 15 five questions similar across the board as some departments have MUCH longer 15five questions
Southwest,Org Opportunity,Doing a workshop on how each department’s work is applicable to each of the strategic plan goals
Southwest,Org Opportunity,Workshop on how our role is made to get other voices and underrepresented voices to the table and how to do that to be more efficient and deliberate in that attempt
Southwest,Org Opportunity,"Ally and transparency training unconscious bias training and bystander training, general public speaking on behalf of the organization training"
Southwest,Org Opportunity,More innovative ways to connect different generations and close the gap for funding opportunities between generations
Southwest,Org Opportunity,"People do not use calendars and general holiday cards, more of a bigger social media presence,  marketing to younger and older generations and remembering that both have some limitations"
Southwest,Org Opportunity,Leadership is being trained to be more inclusive but also needs to be able to make an executive decision and sometimes watering down the conversation can make it less intentional where the goal is headed
Southwest,Org Opportunity,Organizational definition for what DEIJ means to defenders as an organization
Southwest,Org Opportunity,a list serve for training modules on how to work with different organizations and peoples
Southwest,Org Opportunity,Create a how to guide on how to have best practices for integration with other organization and people in their communities and support both needs of each organization simultaneously
Southwest,Org Opportunity,metrics to measure improvement over time
Development,Org Opportunity,Equitable job descriptions
Development,Org Opportunity,rating jobs
Development,Org Opportunity,education support
Development,Org Opportunity,investment for our international work
Development,Org Opportunity,Defining our goal
Development,Org Opportunity,training for conscious unconscious implicit biases
Development,Org Opportunity,active in breaking down barriers
Development,Org Opportunity,listening to diverse backgrounds
Development,Org Opportunity,work in the scope were capable of doing
Development,Org Opportunity,provide more core investment
Development,Org Opportunity,plan for future budgets
Development,Org Opportunity,dive deeper into diversity and inclusion topics and areas
Marketing,Org Opportunity,define what DEIJ means practically and what is the value stand point
Marketing,Org Opportunity,not all staff are mission driven but care about their jobs
Marketing,Org Opportunity,do not force DEIJ on staff but educate them
Marketing,Org Opportunity,diversity can be too broad need to narrow it down
Marketing,Org Opportunity,organized vision not just piecemeal
Marketing,Org Opportunity,more action items and tangible goals
Marketing,Org Opportunity,provide clear opportunities for everyone
Marketing,Org Opportunity,diversity and inclusion ethics surrounding data collection
Marketing,Org Opportunity,nonbinary titles in the database
Marketing,Org Opportunity,provide language translations
Marketing,Org Opportunity,involve schools of all levels and communities
Marketing,Org Opportunity,invite diverse speakers for panel discussions and brown bags
Marketing,Org Opportunity,seek out diverse partnerships and collaborations
Marketing,Org Opportunity,clear job titles responsibilities and management
Marketing,Org Opportunity,disparities among departments and work flows in work life balance
Marketing,Org Opportunity,environmental volunteering is counted against personal and vacation days
Marketing,Org Opportunity,ageism and work styles
Marketing,Org Opportunity,imposter syndrome in the workplace
Marketing,Org Opportunity,microagressions and normalized behaviors
Marketing,Org Opportunity,training for unconscious bias
Marketing,Org Opportunity,training for all levels of management not just executive
Marketing,Org Opportunity,proper onboarding orientation
Marketing,Org Opportunity,provide paid internships
Marketing,Org Opportunity,board recruitment should be the example for fundraising efforts
Marketing,Org Opportunity,collaborate more with staff to advance strategic goals
Northwest,Dept Opportunity,Make sure that our teams are documenting our DEIJ work in 15Five
Northwest,Dept Opportunity,"Expand relationships with tribes and indigenous communities, especially on wolves"
Northwest,Dept Opportunity,Collaborate on workshops with tribes and indigenous communities
Northwest,Dept Opportunity,Utilize demographic tools to figure out where we host events (low-income and environmental justice screens)
Northwest,Dept Opportunity,"OR Zoo partnership that will establish us as educational partners, and their member base is very diverse"
Northwest,Dept Opportunity,OR Zoo also have a lot of programs for low-income families and racially diverse communities
Northwest,Dept Opportunity,Increase the intersectionality of events 
Northwest,Dept Opportunity,Update our outreach materials and be more intentional with language and images
Northwest,Dept Opportunity,Try to have a focus group to get feedback on the fact sheet
Northwest,Org Opportunity,"Create more institutional support for DEIJ work, value it at the same level we value our traditional program work"
Northwest,Org Opportunity,DEIJ needs to be part of work plans and be an explicit point of discussion in our annual review
Northwest,Org Opportunity,"We need to fund this work: if we want staff to do the work, it needs to be valued as equally important to our other work"
Northwest,Org Opportunity,"Also need to fund new positions to bring in expertise (outreach, social scientists, etc.) And need to fund projects/recommendations "
DC Field,Efforts,DEIJ incorporated into coex strategy document
DC Field,Efforts,Announcing a position for policy fellow for field conservaiton and working with HR on getting more diverse applicants
DC Field,Dept Opportunity,Hire more people who live in the communities we work in
DC Field,Dept Opportunity,Explicit messaging about the things we do with DEIJ implications
DC Field,Dept Opportunity,We’ve been hesitant about engaging on non-wildlife issues in the past
DC Field,Dept Opportunity,Put DEIJ work more front and center
DC Field,Dept Opportunity,Partern with tribal governments and communities and organizations represented by non-white/dominant folks
DC Field,Org Opportunity,HR processes can improve who we're inviting to apply for jobs
DC Field,Org Opportunity,Images we use in reports are of wildlife and landscapes not of people
DC Field,Org Opportunity,Make sure we're not tokenizing but show diversity
DC Field,Org Opportunity,authenticity is key
DC Field,Org Opportunity,finding new partners and coalitions related to DEIJ
Alaska,Efforts,most all of the arctic work we do what we can to work with native tribes and native partners whenever we can
Alaska,Efforts,for the arctic refuge the entire campaign is set up to elevate indigenous and native voices
Alaska,Efforts,defenders has questioned how we best fit in with campaigns like this given our focus on endangered species
Alaska,Efforts,we do work with and message with indigenous peoples
Alaska,Efforts,working both with indigenous led NGOs and tribal governments
Alaska,Efforts,campagins with elevated tribal voices
Alaska,Efforts,alaska native sceince and engineering program
Alaska,Efforts,helping with educational programs at lower grade levels on polar bears and other marine mammals
Alaska,Efforts,interns work on research projects and write blogs
Alaska,Efforts,working with girl scouts and belugas slow starting but in the works
Alaska,Efforts,in education program trying to connect with schools that don't have the financial resources to travel and participate
Alaska,Efforts,reaching out to really diverse schools
Alaska,Efforts,have a desire to support a very rural very diverse school in their tsunami bowl participation
Alaska,Efforts,tongass coalition actively engages the women's earth and climate action network
Alaska,Dept Opportunity,Expand networks and connections with groups like women's earth and climate action network
Alaska,Dept Opportunity,Partner with NOAA to do trainings at community centers or religious buildings
Alaska,Dept Opportunity,There’s a refugee community that could be engaged more
Alaska,Dept Opportunity,More collaboration and engagement with the scientific community. Are there ways we can connect other groups to the scientific community
Alaska,Org Opportunity,Working with tribal governments vs. tribal-led NGO’s
Alaska,Org Opportunity,Can Defenders establish some approaches or protocols for how to establish these relationships with tribal governments
Alaska,Org Opportunity,understanding the differences between tribal governments and tribal-led NGO's is very important
Alaska,Org Opportunity,Find partnerships at a national level to pave the way for collaborations for regional offices like the National Congress of American Indians
Alaska,Org Opportunity,Defenders staff is not all on the same page in terms of our understanding of various social issues and we should have a trainer to help us
Alaska,Org Opportunity,"Recruitment plan is in the works, and should be advanced in an inclusive way"
Alaska,Org Opportunity,Hiring and retention also need to be a big priority
California,Efforts,Unpaid internships are a barrier for folks to intern with us so we were able to get funds to create the Fearless Fellow program 
California,Efforts,"Working to increase outreach efforts, especially with youth and on college campuses"
California,Efforts,"Working to increase outreach efforts, especially with youth and on college campuses"
California,Efforts,McGeorge’s law school programor internship with college credits helps
California,Efforts,looking for avenues to get more diverse staff
California,Efforts,The Salton Sea campaign has ties to migratory birds and human and indigenous health
California,Efforts,Conservation and local healthy connection
California,Dept Opportunity,Lack of staff/capacity makes it harder to meaningfully engage
California,Efforts,In state policies we partner with DEIJ groups when possible
California,Efforts,Forestry and fire restoration work ahs been pulling in more traditional knowledge to inform fire management
California,Efforts,engages latino and hispanic communities
California,Efforts,used to have a grant funded central valley organizer that was really helpful
California,Dept Opportunity,we need more funding to hire boots on the ground
California,Efforts,friends of the lower calaveras river was a good example of empowering communities to do water quality and habitat restoration
California,Efforts,brochure on the historical wildlife was in English and Spanish
California,Efforts,work to set up conservation agreements with local conservation corps which have a lot of diverse workers and volunteers from local communities
California,Efforts,paradise valley housing project
California,Dept Opportunity,Lots of opportunities in the Central Valley
California,Dept Opportunity,hard to find funding for an organizers salary
California,Dept Opportunity,Opportunities for Defenders to engage with Conservation Corps and other groups like this
California,Dept Opportunity,We need paid internships and fellowships or college credits
California,Dept Opportunity,Can look more closely at issues that intersect with community and public health
California,Dept Opportunity,Look at different issue areas and be more flexible in our ability to help the community not just an endangered-species-driven issue
California,Dept Opportunity,Create opportunities for communities to get into the conservation world via training
California,Dept Opportunity,fire restoration training program in community college is an opportunity for people getting on a career track
California,Dept Opportunity,need a stipend for interns and volunteers
California,Dept Opportunity,connect conservation messaging to some of the wealthier folks in california to do more fundraising for DEIJ
California,Dept Opportunity,need to get more people involved in community science
California,Dept Opportunity,engage communities that are most impacted by climate change and help them to respond in a green way not with more infrastructure
California,Dept Opportunity,we should be helping more people access restoration and resiliency jobs so that they reflect the community
California,Dept Opportunity,more work with pollinators which is also connected to human health
California,Dept Opportunity,expand our work where our priorities align with those of the environmental justice community
California,Dept Opportunity,water quality is a particularly good opportunity to expand our environmental justice work as poor water quality affects californias disadvantaged communities and its wildlife
California,Org Opportunity,We need a national point-person for DEIJ
California,Org Opportunity,Let’s not turn this into a box checking exercise
California,Org Opportunity,DEIJ needs to be more fully integrated into our issues for existing and new programs
California,Org Opportunity,"Without a dedicated organizer or organizational support, our DEIJ work is more one-off and not fully integrated"
California,Org Opportunity,If we’re serious about doing DEIJ it needs to be a substantial investment in the organization
California,Org Opportunity,"For a DEIJ coordinator, we need to make sure they have tools and resources"
California,Org Opportunity,Don’t just repackage what we’re doing
California,Org Opportunity,"Hire someone, give them a chunk of money to hire people, and empower them to help refocus our existing programs"
California,Org Opportunity,Needs to be a multi-year commitment 
California,Org Opportunity,Need to start working with organizations we haven’t worked with before
California,Org Opportunity,we need to go to other organizations events and sign on to their issues
California,Org Opportunity,need to change from they to we
California,Org Opportunity,Assessment to determine what needs to be done on the DEIJ front
California,Org Opportunity,determine who are the communities or groups we need to engage
California,Org Opportunity,Need to think outside of the Defenders box and our current issues
California,Org Opportunity,"As a staff, we need to view our mission more about advancing biodiversity, which includes people"
California,Org Opportunity,We need to focus more on communities
California,Org Opportunity,Proposal that Defenders establish a scholarship fund to support LA Conservation Corps (LACC) members who have enrolled or will enroll in a junior college in pursuing a degree in wildlife conservation or a related field
